C:\p10_vitis\p10_2_fixed\p10_fixed_runtime\Debug\p10_fixed_runtime.elf  :
section             size    addr
.text              52504       0
.init                 12   52504
.fini                 12   52516
.rodata             1177   52528
.data               2240   53712
.eh_frame              4   55952
.mmu_tbl           16384   65536
.ARM.exidx             8   81920
.init_array            4   81928
.fini_array            4   81932
.ARM.attributes       51   81936
.bss                2132   81936
.heap               8204   84068
.stack             14336   92272
.comment              18       0
.debug_info       103381       0
.debug_abbrev       9415       0
.debug_loclists    63581       0
.debug_aranges       704       0
.debug_rnglists    12792       0
.debug_macro       18178       0
.debug_line        73436       0
.debug_str        110230       0
.debug_frame        3604       0
.debug_line_str      152       0
Total             492563



